Year,Construction Vintage,Customer Class,Segment,Building Stock
2021,Existing,Residential,Multifamily - High Rise,64650
2021,Existing,Residential,Multifamily - Low Rise,90510
2021,Existing,Residential,Multifamily - Mid Rise,60340
2021,Existing,Residential,Single Family,206570
2022,Existing,Residential,Multifamily - High Rise,64650
2022,Existing,Residential,Multifamily - Low Rise,90510
2022,Existing,Residential,Multifamily - Mid Rise,60340
2022,Existing,Residential,Single Family,206570
2022,New,Residential,Multifamily - High Rise,876.4421644
2022,New,Residential,Multifamily - Low Rise,1227.01903
2022,New,Residential,Multifamily - Mid Rise,818.0126867
2022,New,Residential,Single Family,784.7560946
2023,Existing,Residential,Multifamily - High Rise,64650
2023,Existing,Residential,Multifamily - Low Rise,90510
2023,Existing,Residential,Multifamily - Mid Rise,60340
2023,Existing,Residential,Single Family,206570
2023,New,Residential,Multifamily - High Rise,1720.380626
2023,New,Residential,Multifamily - Low Rise,2408.532876
2023,New,Residential,Multifamily - Mid Rise,1605.688584
2023,New,Residential,Single Family,1556.877367
2024,Existing,Residential,Multifamily - High Rise,64650
2024,Existing,Residential,Multifamily - Low Rise,90510
2024,Existing,Residential,Multifamily - Mid Rise,60340
2024,Existing,Residential,Single Family,206570
2024,New,Residential,Multifamily - High Rise,2606.221553
2024,New,Residential,Multifamily - Low Rise,3648.710174
2024,New,Residential,Multifamily - Mid Rise,2432.473449
2024,New,Residential,Single Family,2375.148443
2025,Existing,Residential,Multifamily - High Rise,64650
2025,Existing,Residential,Multifamily - Low Rise,90510
2025,Existing,Residential,Multifamily - Mid Rise,60340
2025,Existing,Residential,Single Family,206570
2025,New,Residential,Multifamily - High Rise,3448.333074
2025,New,Residential,Multifamily - Low Rise,4827.666304
2025,New,Residential,Multifamily - Mid Rise,3218.444202
2025,New,Residential,Single Family,3155.392083
2026,Existing,Residential,Multifamily - High Rise,64650
2026,Existing,Residential,Multifamily - Low Rise,90510
2026,Existing,Residential,Multifamily - Mid Rise,60340
2026,Existing,Residential,Single Family,206570
2026,New,Residential,Multifamily - High Rise,4277.318474
2026,New,Residential,Multifamily - Low Rise,5988.245863
2026,New,Residential,Multifamily - Mid Rise,3992.163909
2026,New,Residential,Single Family,3924.348808
2027,Existing,Residential,Multifamily - High Rise,64650
2027,Existing,Residential,Multifamily - Low Rise,90510
2027,Existing,Residential,Multifamily - Mid Rise,60340
2027,Existing,Residential,Single Family,206570
2027,New,Residential,Multifamily - High Rise,5095.561157
2027,New,Residential,Multifamily - Low Rise,7133.78562
2027,New,Residential,Multifamily - Mid Rise,4755.85708
2027,New,Residential,Single Family,4683.648069
2028,Existing,Residential,Multifamily - High Rise,64650
2028,Existing,Residential,Multifamily - Low Rise,90510
2028,Existing,Residential,Multifamily - Mid Rise,60340
2028,Existing,Residential,Single Family,206570
2028,New,Residential,Multifamily - High Rise,5900.954031
2028,New,Residential,Multifamily - Low Rise,8261.335644
2028,New,Residential,Multifamily - Mid Rise,5507.557095
2028,New,Residential,Single Family,5431.130241
2029,Existing,Residential,Multifamily - High Rise,64650
2029,Existing,Residential,Multifamily - Low Rise,90510
2029,Existing,Residential,Multifamily - Mid Rise,60340
2029,Existing,Residential,Single Family,206570
2029,New,Residential,Multifamily - High Rise,6693.013501
2029,New,Residential,Multifamily - Low Rise,9370.218902
2029,New,Residential,Multifamily - Mid Rise,6246.812601
2029,New,Residential,Single Family,6166.275136
2030,Existing,Residential,Multifamily - High Rise,64650
2030,Existing,Residential,Multifamily - Low Rise,90510
2030,Existing,Residential,Multifamily - Mid Rise,60340
2030,Existing,Residential,Single Family,206570
2030,New,Residential,Multifamily - High Rise,7481.549637
2030,New,Residential,Multifamily - Low Rise,10474.16949
2030,New,Residential,Multifamily - Mid Rise,6982.77966
2030,New,Residential,Single Family,6898.163207
2031,Existing,Residential,Multifamily - High Rise,64650
2031,Existing,Residential,Multifamily - Low Rise,90510
2031,Existing,Residential,Multifamily - Mid Rise,60340
2031,Existing,Residential,Single Family,206570
2031,New,Residential,Multifamily - High Rise,8270.085772
2031,New,Residential,Multifamily - Low Rise,11578.12008
2031,New,Residential,Multifamily - Mid Rise,7718.74672
2031,New,Residential,Single Family,7630.055975
2032,Existing,Residential,Multifamily - High Rise,64650
2032,Existing,Residential,Multifamily - Low Rise,90510
2032,Existing,Residential,Multifamily - Mid Rise,60340
2032,Existing,Residential,Single Family,206570
2032,New,Residential,Multifamily - High Rise,9058.621907
2032,New,Residential,Multifamily - Low Rise,12682.07067
2032,New,Residential,Multifamily - Mid Rise,8454.713779
2032,New,Residential,Single Family,8361.950388
2033,Existing,Residential,Multifamily - High Rise,64650
2033,Existing,Residential,Multifamily - Low Rise,90510
2033,Existing,Residential,Multifamily - Mid Rise,60340
2033,Existing,Residential,Single Family,206570
2033,New,Residential,Multifamily - High Rise,9847.158043
2033,New,Residential,Multifamily - Low Rise,13786.02126
2033,New,Residential,Multifamily - Mid Rise,9190.680839
2033,New,Residential,Single Family,9093.845375
2034,Existing,Residential,Multifamily - High Rise,64650
2034,Existing,Residential,Multifamily - Low Rise,90510
2034,Existing,Residential,Multifamily - Mid Rise,60340
2034,Existing,Residential,Single Family,206570
2034,New,Residential,Multifamily - High Rise,10635.69418
2034,New,Residential,Multifamily - Low Rise,14889.97185
2034,New,Residential,Multifamily - Mid Rise,9926.647899
2034,New,Residential,Single Family,9825.740564
2035,Existing,Residential,Multifamily - High Rise,64650
2035,Existing,Residential,Multifamily - Low Rise,90510
2035,Existing,Residential,Multifamily - Mid Rise,60340
2035,Existing,Residential,Single Family,206570
2035,New,Residential,Multifamily - High Rise,11424.23031
2035,New,Residential,Multifamily - Low Rise,15993.92244
2035,New,Residential,Multifamily - Mid Rise,10662.61496
2035,New,Residential,Single Family,10557.63582
2036,Existing,Residential,Multifamily - High Rise,64650
2036,Existing,Residential,Multifamily - Low Rise,90510
2036,Existing,Residential,Multifamily - Mid Rise,60340
2036,Existing,Residential,Single Family,206570
2036,New,Residential,Multifamily - High Rise,12212.76645
2036,New,Residential,Multifamily - Low Rise,17097.87303
2036,New,Residential,Multifamily - Mid Rise,11398.58202
2036,New,Residential,Single Family,11289.53111
2037,Existing,Residential,Multifamily - High Rise,64650
2037,Existing,Residential,Multifamily - Low Rise,90510
2037,Existing,Residential,Multifamily - Mid Rise,60340
2037,Existing,Residential,Single Family,206570
2037,New,Residential,Multifamily - High Rise,13001.30258
2037,New,Residential,Multifamily - Low Rise,18201.82362
2037,New,Residential,Multifamily - Mid Rise,12134.54908
2037,New,Residential,Single Family,12021.4264
2038,Existing,Residential,Multifamily - High Rise,64650
2038,Existing,Residential,Multifamily - Low Rise,90510
2038,Existing,Residential,Multifamily - Mid Rise,60340
2038,Existing,Residential,Single Family,206570
2038,New,Residential,Multifamily - High Rise,13789.83872
2038,New,Residential,Multifamily - Low Rise,19305.77421
2038,New,Residential,Multifamily - Mid Rise,12870.51614
2038,New,Residential,Single Family,12753.32169
2039,Existing,Residential,Multifamily - High Rise,64650
2039,Existing,Residential,Multifamily - Low Rise,90510
2039,Existing,Residential,Multifamily - Mid Rise,60340
2039,Existing,Residential,Single Family,206570
2039,New,Residential,Multifamily - High Rise,14578.37485
2039,New,Residential,Multifamily - Low Rise,20409.7248
2039,New,Residential,Multifamily - Mid Rise,13606.4832
2039,New,Residential,Single Family,13485.21699
2040,Existing,Residential,Multifamily - High Rise,64650
2040,Existing,Residential,Multifamily - Low Rise,90510
2040,Existing,Residential,Multifamily - Mid Rise,60340
2040,Existing,Residential,Single Family,206570
2040,New,Residential,Multifamily - High Rise,15366.91099
2040,New,Residential,Multifamily - Low Rise,21513.67539
2040,New,Residential,Multifamily - Mid Rise,14342.45026
2040,New,Residential,Single Family,14217.11229
2041,Existing,Residential,Multifamily - High Rise,64650
2041,Existing,Residential,Multifamily - Low Rise,90510
2041,Existing,Residential,Multifamily - Mid Rise,60340
2041,Existing,Residential,Single Family,206570
2041,New,Residential,Multifamily - High Rise,16155.44713
2041,New,Residential,Multifamily - Low Rise,22617.62597
2041,New,Residential,Multifamily - Mid Rise,15078.41732
2041,New,Residential,Single Family,14949.00758
