RegionSegment,RegionSegmentEndUse,RegionSegmentEndUseEfficiency,RegionSegmentEndUseEfficiencyVintage,RegionSegmentEndUseEfficiencyDescriptionVintage,RegionSegmentEndUseVintage,Region,Segment,End Use,Efficiency Level,Efficiency Description,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier2,SCLMultifamily - High RiseAir Purifier2Existing,SCLMultifamily - High RiseAir PurifierENERGY STAR Air PurifierExisting,SCLMultifamily - High RiseAir PurifierExisting,SCL,Multifamily - High Rise,Air Purifier,2,ENERGY STAR Air Purifier,Existing,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111,0.241111111
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier1,SCLMultifamily - High RiseAir Purifier1Existing,SCLMultifamily - High RiseAir PurifierMarket Average Air PurifierExisting,SCLMultifamily - High RiseAir PurifierExisting,SCL,Multifamily - High Rise,Air Purifier,1,Market Average Air Purifier,Existing,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889,0.758888889
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier2,SCLMultifamily - High RiseAir Purifier2New,SCLMultifamily - High RiseAir PurifierENERGY STAR Air PurifierNew,SCLMultifamily - High RiseAir PurifierNew,SCL,Multifamily - High Rise,Air Purifier,2,ENERGY STAR Air Purifier,New,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier1,SCLMultifamily - High RiseAir Purifier1New,SCLMultifamily - High RiseAir PurifierMarket Average Air PurifierNew,SCLMultifamily - High RiseAir PurifierNew,SCL,Multifamily - High Rise,Air Purifier,1,Market Average Air Purifier,New,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW2,SCLMultifamily - High RiseCirculation - DHW2Existing,SCLMultifamily - High RiseCirculation - DHWECM Pump Motor - DHWExisting,SCLMultifamily - High RiseCirculation - DHWExisting,SCL,Multifamily - High Rise,Circulation - DHW,2,ECM Pump Motor - DHW,Existing,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW1,SCLMultifamily - High RiseCirculation - DHW1Existing,SCLMultifamily - High RiseCirculation - DHWMarket Average DHW PumpExisting,SCLMultifamily - High RiseCirculation - DHWExisting,SCL,Multifamily - High Rise,Circulation - DHW,1,Market Average DHW Pump,Existing,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW2,SCLMultifamily - High RiseCirculation - DHW2New,SCLMultifamily - High RiseCirculation - DHWECM Pump Motor - DHWNew,SCLMultifamily - High RiseCirculation - DHWNew,SCL,Multifamily - High Rise,Circulation - DHW,2,ECM Pump Motor - DHW,New,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625,0.03625
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW1,SCLMultifamily - High RiseCirculation - DHW1New,SCLMultifamily - High RiseCirculation - DHWMarket Average DHW PumpNew,SCLMultifamily - High RiseCirculation - DHWNew,SCL,Multifamily - High Rise,Circulation - DHW,1,Market Average DHW Pump,New,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375,0.96375
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating2,SCLMultifamily - High RiseCirculation - Hydronic Heating2Existing,SCLMultifamily - High RiseCirculation - Hydronic HeatingECM Pump Motor - Hydronic HeatingExisting,SCLMultifamily - High RiseCirculation - Hydronic HeatingExisting,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,2,ECM Pump Motor - Hydronic Heating,Existing,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068,0.1068
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating1,SCLMultifamily - High RiseCirculation - Hydronic Heating1Existing,SCLMultifamily - High RiseCirculation - Hydronic HeatingMarket Average Hydronic Heating PumpExisting,SCLMultifamily - High RiseCirculation - Hydronic HeatingExisting,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,1,Market Average Hydronic Heating Pump,Existing,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932,0.8932
