Segment,End Use,Construction Vintage,Efficiency Level,Efficiency Description,Start Efficiency Share,End Efficiency Share,Start Year,End Year,Interpolate Efficiency Share,Customer Class
Multifamily - High Rise,Air Purifier,Existing,1,Market Average Air Purifier,0.7588888890000001,0.7588888890000001,2021,2041,linear,Residential
Multifamily - High Rise,Air Purifier,Existing,2,ENERGY STAR Air Purifier,0.24111111100000002,0.24111111100000002,2021,2041,linear,Residential
Multifamily - High Rise,Air Purifier,New,1,Market Average Air Purifier,0.71,0.71,2021,2041,linear,Residential
Multifamily - High Rise,Air Purifier,New,2,ENERGY STAR Air Purifier,0.29,0.29,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,Existing,1,Market Average DHW Pump,0.96375,0.96375,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,Existing,2,ECM Pump Motor - DHW,0.03625,0.03625,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,New,1,Market Average DHW Pump,0.96375,0.96375,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,New,2,ECM Pump Motor - DHW,0.03625,0.03625,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,Existing,1,Market Average Hydronic Heating Pump,0.8932,0.8932,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,Existing,2,ECM Pump Motor - Hydronic Heating,0.1068,0.1068,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,New,1,Market Average Hydronic Heating Pump,0.8932,0.8932,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,New,2,ECM Pump Motor - Hydronic Heating,0.1068,0.1068,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,Existing,1,Washington State Code Baseline,0.8,0.8,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,Existing,2,ENERGY STAR Desktop,0.2,0.2,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,New,1,Washington State Code Baseline,0.8,0.8,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,New,2,ENERGY STAR Desktop,0.2,0.2,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,Existing,1,Market Average Laptop Computer,0.666666667,0.666666667,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,Existing,2,ENERGY STAR Notebook,0.333333333,0.333333333,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,New,1,Market Average Laptop Computer,0.666666667,0.666666667,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,New,2,ENERGY STAR Notebook,0.333333333,0.333333333,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,Existing,1,Federal Standard 2012 Cooking Oven,0.972972973,0.972972973,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,Existing,2,Efficient Oven,0.027027027000000002,0.027027027000000002,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,New,1,Federal Standard 2012 Cooking Oven,0.972972973,0.972972973,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,New,2,Efficient Oven,0.027027027000000002,0.027027027000000002,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Range,Existing,1,Federal Standard 2012 Cooking Range,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Range,New,1,Federal Standard 2012 Cooking Range,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Central,Existing,1,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),0.409534005,0.0,2021,2041,linear,Residential
