RegionSegmentEndUseEfficiencyVintage,RegionSegmentEndUseVintage,Region,Segment,End Use,Efficiency Level,Efficiency Description,Construction Vintage,Measure Name,Measure Description,Base Equipment,Unit Definition,Effective Useful Life,Effective Useful Life Source,Baseline Consumption (energy units / yr),Measure Consumption (energy units / yr),Covid Adjusted Measure Consumption,Covid Adjusted Baseline Consumption
SCLSingle FamilyAir Purifier1Existing,SCLSingle FamilyAir PurifierExisting,SCL,Single Family,Air Purifier,1,Market Average Air Purifier,Existing,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLSingle FamilyAir Purifier1New,SCLSingle FamilyAir PurifierNew,SCL,Single Family,Air Purifier,1,Market Average Air Purifier,New,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLMultifamily - Low RiseAir Purifier1Existing,SCLMultifamily - Low RiseAir PurifierExisting,SCL,Multifamily - Low Rise,Air Purifier,1,Market Average Air Purifier,Existing,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLMultifamily - Low RiseAir Purifier1New,SCLMultifamily - Low RiseAir PurifierNew,SCL,Multifamily - Low Rise,Air Purifier,1,Market Average Air Purifier,New,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLMultifamily - Mid RiseAir Purifier1Existing,SCLMultifamily - Mid RiseAir PurifierExisting,SCL,Multifamily - Mid Rise,Air Purifier,1,Market Average Air Purifier,Existing,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLMultifamily - Mid RiseAir Purifier1New,SCLMultifamily - Mid RiseAir PurifierNew,SCL,Multifamily - Mid Rise,Air Purifier,1,Market Average Air Purifier,New,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLMultifamily - High RiseAir Purifier1Existing,SCLMultifamily - High RiseAir PurifierExisting,SCL,Multifamily - High Rise,Air Purifier,1,Market Average Air Purifier,Existing,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLMultifamily - High RiseAir Purifier1New,SCLMultifamily - High RiseAir PurifierNew,SCL,Multifamily - High Rise,Air Purifier,1,Market Average Air Purifier,New,Air Purifier - Market Average,Market Average Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,227.8041224,232.3541341,232.3541341
SCLSingle FamilyAir Purifier2Existing,SCLSingle FamilyAir PurifierExisting,SCL,Single Family,Air Purifier,2,ENERGY STAR Air Purifier,Existing,Air Purifier - ENERGY STAR,ENERGY STAR Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,180.6863986,184.2953115,232.3541341
SCLSingle FamilyAir Purifier2New,SCLSingle FamilyAir PurifierNew,SCL,Single Family,Air Purifier,2,ENERGY STAR Air Purifier,New,Air Purifier - ENERGY STAR,ENERGY STAR Air Purifier,Market Average Air Purifier,Per Air Purifier,9,Based on the NWPCC 2021 Plan workbook Res-Air Cleaner-2021P_v3,227.8041224,180.6863986,184.2953115,232.3541341
