RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family,SCLSingle FamilyAir Purifier,SCL,Single Family,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseAir Purifier,SCL,Multifamily - Low Rise,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseAir Purifier,SCL,Multifamily - Mid Rise,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCL,Multifamily - High Rise,Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier,Market Average Air Purifier
SCLSingle Family,SCLSingle FamilyComputer - Desktop,SCL,Single Family,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseComputer - Desktop,SCL,Multifamily - Low Rise,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseComputer - Desktop,SCL,Multifamily - Mid Rise,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCL,Multifamily - High Rise,Computer - Desktop,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline,Washington State Code Baseline
SCLSingle Family,SCLSingle FamilyComputer - Laptop,SCL,Single Family,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseComputer - Laptop,SCL,Multifamily - Low Rise,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
