RegionSegment,RegionSegmentEndUse,RegionSegmentEndUseEfficiency,RegionSegmentEndUseEfficiencyVintage,RegionSegmentEndUseEfficiencyDescriptionVintage,RegionSegmentEndUseVintage,Region,Segment,End Use,Efficiency Level,Efficiency Description,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier2,SCLMultifamily - High RiseAir Purifier2Existing,SCLMultifamily - High RiseAir PurifierENERGY STAR Air PurifierExisting,SCLMultifamily - High RiseAir PurifierExisting,SCL,Multifamily - High Rise,Air Purifier,2,ENERGY STAR Air Purifier,Existing,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684,227.1544684
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier1,SCLMultifamily - High RiseAir Purifier1Existing,SCLMultifamily - High RiseAir PurifierMarket Average Air PurifierExisting,SCLMultifamily - High RiseAir PurifierExisting,SCL,Multifamily - High Rise,Air Purifier,1,Market Average Air Purifier,Existing,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384,714.9608384
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier2,SCLMultifamily - High RiseAir Purifier2New,SCLMultifamily - High RiseAir PurifierENERGY STAR Air PurifierNew,SCLMultifamily - High RiseAir PurifierNew,SCL,Multifamily - High Rise,Air Purifier,2,ENERGY STAR Air Purifier,New,0,4.412763698,9.268203393,13.87271993,17.468207,21.16143968,25.50562056,30.2518901,35.2586279,39.99835101,44.4069408,48.83577757,53.28557546,57.75670479,62.2493157,66.76341665,71.29892411,75.8556942,80.43354269,85.0322577,89.67271344
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir Purifier1,SCLMultifamily - High RiseAir Purifier1New,SCLMultifamily - High RiseAir PurifierMarket Average Air PurifierNew,SCLMultifamily - High RiseAir PurifierNew,SCL,Multifamily - High Rise,Air Purifier,1,Market Average Air Purifier,New,0,10.80366285,22.69111865,33.96424534,42.76698956,51.80904198,62.44479516,74.06497232,86.32284762,97.9269973,108.7204413,119.5634554,130.4577882,141.4043462,152.4034971,163.4552614,174.5594349,185.7156651,196.9235011,208.182424,219.5435398
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW2,SCLMultifamily - High RiseCirculation - DHW2Existing,SCLMultifamily - High RiseCirculation - DHWECM Pump Motor - DHWExisting,SCLMultifamily - High RiseCirculation - DHWExisting,SCL,Multifamily - High Rise,Circulation - DHW,2,ECM Pump Motor - DHW,Existing,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575,1.666629575
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW1,SCLMultifamily - High RiseCirculation - DHW1Existing,SCLMultifamily - High RiseCirculation - DHWMarket Average DHW PumpExisting,SCLMultifamily - High RiseCirculation - DHWExisting,SCL,Multifamily - High Rise,Circulation - DHW,1,Market Average DHW Pump,Existing,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869,44.30935869
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW2,SCLMultifamily - High RiseCirculation - DHW2New,SCLMultifamily - High RiseCirculation - DHWECM Pump Motor - DHWNew,SCLMultifamily - High RiseCirculation - DHWNew,SCL,Multifamily - High Rise,Circulation - DHW,2,ECM Pump Motor - DHW,New,0,0.766935629,1.610808076,2.41107023,3.035963683,3.677845262,4.432861239,5.25775998,6.127927945,6.951688919,7.717899126,8.487628245,9.261000394,10.03807993,10.81889296,11.60344094,12.39170936,13.18367321,13.97930048,14.77855433,15.5850627
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHW1,SCLMultifamily - High RiseCirculation - DHW1New,SCLMultifamily - High RiseCirculation - DHWMarket Average DHW PumpNew,SCLMultifamily - High RiseCirculation - DHWNew,SCL,Multifamily - High Rise,Circulation - DHW,1,Market Average DHW Pump,New,0,20.38990931,42.82527677,64.10121199,80.71475862,97.77995506,117.852966,139.7838946,162.9183602,184.8190399,205.189663,225.6538406,246.2148725,266.87447,287.6333266,308.4914816,329.4485489,350.5038637,371.6565748,392.9057031,414.3477014
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating2,SCLMultifamily - High RiseCirculation - Hydronic Heating2Existing,SCLMultifamily - High RiseCirculation - Hydronic HeatingECM Pump Motor - Hydronic HeatingExisting,SCLMultifamily - High RiseCirculation - Hydronic HeatingExisting,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,2,ECM Pump Motor - Hydronic Heating,Existing,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135,2.539596135
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCLMultifamily - High RiseCirculation - Hydronic Heating1,SCLMultifamily - High RiseCirculation - Hydronic Heating1Existing,SCLMultifamily - High RiseCirculation - Hydronic HeatingMarket Average Hydronic Heating PumpExisting,SCLMultifamily - High RiseCirculation - Hydronic HeatingExisting,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,1,Market Average Hydronic Heating Pump,Existing,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389,21.23939389
