End Use,Segment,Construction Vintage,Customer Class,Efficiency Level,Start Year,End Year,Efficiency Description,Measure Name,Measure Description,Effective Useful Life,Start Measure Consumption,End Measure Consumption,Interpolate Measure Consumption
Air Purifier,Multifamily - High Rise,Existing,Residential,1,2021,2041,Market Average Air Purifier,Air Purifier - Market Average,Market Average Air Purifier,9,227.8041224,227.8041224,linear
Air Purifier,Multifamily - High Rise,Existing,Residential,2,2021,2041,ENERGY STAR Air Purifier,Air Purifier - ENERGY STAR,ENERGY STAR Air Purifier,9,180.6863986,180.6863986,linear
Circulation - DHW,Multifamily - High Rise,Existing,Residential,1,2021,2041,Market Average DHW Pump,DHW Pump - Market Average,Market Average DHW Pump,12,1340.976333,1340.976333,linear
Circulation - DHW,Multifamily - High Rise,Existing,Residential,2,2021,2041,ECM Pump Motor - DHW,ECM Pump Motor - DHW,ECM Pump Motor - DHW,12,726.223791,726.223791,linear
Circulation - Hydronic Heating,Multifamily - High Rise,Existing,Residential,1,2021,2041,Market Average Hydronic Heating Pump,Hydronic Heating Pump - Market Average,Market Average Hydronic Heating Pump,12,1156.4409859999996,1156.4409859999996,linear
Circulation - Hydronic Heating,Multifamily - High Rise,Existing,Residential,2,2021,2041,ECM Pump Motor - Hydronic Heating,ECM Pump Motor - Hydronic Heating,ECM Pump Motor - Hydronic Heating,12,707.4561039,707.4561039,linear
Computer - Desktop,Multifamily - High Rise,Existing,Residential,1,2021,2041,Washington State Code Baseline,Computer - Washington State Code Baseline Desktop,Washington State Code Baseline,7,74.54735329,74.54735329,linear
Computer - Desktop,Multifamily - High Rise,Existing,Residential,2,2021,2041,ENERGY STAR Desktop,ENERGY STAR Desktops,ENERGY STAR Desktop,7,53.50138244,53.50138244,linear
Computer - Laptop,Multifamily - High Rise,Existing,Residential,1,2021,2041,Market Average Laptop Computer,Computer - Market Average Laptop,Market Average Laptop Computer,4,27.21763261,27.21763261,linear
Computer - Laptop,Multifamily - High Rise,Existing,Residential,2,2021,2041,ENERGY STAR Notebook,ENERGY STAR Laptops,ENERGY STAR Notebook,4,23.36860036,23.36860036,linear
Cooking Oven,Multifamily - High Rise,Existing,Residential,1,2021,2041,Federal Standard 2012 Cooking Oven,Cooking Oven - Federal Standard 2012,Federal Standard 2012 Cooking Oven,16,178.0622354,178.0622354,linear
Cooking Oven,Multifamily - High Rise,Existing,Residential,2,2021,2041,Efficient Oven,Efficient Oven,Efficient Oven,16,158.21180139999996,158.21180139999996,linear
Cooking Range,Multifamily - High Rise,Existing,Residential,1,2021,2041,Federal Standard 2012 Cooking Range,Cooking Range - Federal Standard 2012,Federal Standard 2012 Cooking Range,19,124.74,124.74,linear
Cool Central,Multifamily - High Rise,Existing,Residential,1,2021,2041,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),Central Air Conditioner - Below Standard,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),9,193.5596395,193.5596395,linear
Cool Central,Multifamily - High Rise,Existing,Residential,2,2021,2041,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Central Air Conditioner - Federal Standard 2015,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),18,148.89203030000004,148.89203030000004,linear
Cool Central,Multifamily - High Rise,Existing,Residential,3,2021,2041,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Central Air Conditioner - Federal Standard 2023,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),18,138.25688530000002,138.25688530000002,linear
Cool Central,Multifamily - High Rise,Existing,Residential,4,2021,2041,ENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System),Central Air Conditioner - ENERGY STAR,ENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System),18,129.0397596,129.0397596,linear
