RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCL,Multifamily - High Rise,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeAir Purifier,SCL,Multifamily - High Rise Low Income,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseAir Purifier,SCL,Multifamily - Low Rise,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeAir Purifier,SCL,Multifamily - Low Rise Low Income,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseAir Purifier,SCL,Multifamily - Mid Rise,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeAir Purifier,SCL,Multifamily - Mid Rise Low Income,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyAir Purifier,SCL,Single Family,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeAir Purifier,SCL,Single Family Low Income,Air Purifier,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCL,Multifamily - High Rise,Circulation - DHW,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCirculation - DHW,SCL,Multifamily - High Rise Low Income,Circulation - DHW,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
