Segment,End Use,Construction Vintage,Start Fuel Share,End Fuel Share,Start Year,End Year,Interpolate Fuel Share,Customer Class
Multifamily - High Rise,Air Purifier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Air Purifier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,Existing,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,New,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Range,Existing,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Range,New,0.9302325579999999,0.9302325579999999,2021,2041,linear,Residential
Multifamily - High Rise,Cool Central,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Central,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Copier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Copier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
