Segment,Construction Vintage,End Use,Puma,Building Type,Load Shape
Single Family,Existing,Air Purifier,G53011601,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Circulation - DHW,G53011602,Single-Family Attached,out.electricity.pumps_heating.energy_consumption
Single Family,Existing,Circulation - Hydronic Heating,G53011603,Single-Family Attached,out.electricity.pumps_heating.energy_consumption
Single Family,Existing,Computer - Desktop,G53011604,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Computer - Laptop,G53011605,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Cooking Oven,G53011606,Single-Family Attached,out.electricity.cooking_range.energy_consumption
Single Family,Existing,Cooking Range,G53011607,Single-Family Attached,out.electricity.cooking_range.energy_consumption
Single Family,Existing,Cool Central,G53011608,Single-Family Attached,out.electricity.cooling.energy_consumption
Single Family,Existing,Cool Room,G53011609,Single-Family Attached,out.electricity.cooling.energy_consumption
Single Family,Existing,Copier,G53011610,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Dryer,G53011611,Single-Family Attached,out.electricity.clothes_dryer.energy_consumption
Single Family,Existing,DVD Player,G53011612,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Electric Vehicles,G53011613,Single-Family Attached,out.electricity.vehicle.energy_consumption
Single Family,Existing,Freezer,G53011614,Single-Family Attached,out.electricity.freezer.energy_consumption
Single Family,Existing,Heat Central,G53011615,Single-Family Attached,out.electricity.heating.energy_consumption
Single Family,Existing,Heat Pump,G53011616,Single-Family Attached,agg.electric.heat_pump.energy_consumption
Single Family,Existing,Heat Room,G53011617,Single-Family Attached,out.electricity.heating.energy_consumption
Single Family,Existing,Home Audio System,G53011618,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Lighting Exterior Standard,G53011619,Single-Family Attached,out.electricity.exterior_lighting.energy_consumption
Single Family,Existing,Lighting Interior Linear Fluorescent,G53011620,Single-Family Attached,out.electricity.interior_lighting.energy_consumption
Single Family,Existing,Lighting Interior Specialty,G53011621,Single-Family Attached,out.electricity.interior_lighting.energy_consumption
Single Family,Existing,Lighting Interior Standard,G53011622,Single-Family Attached,out.electricity.interior_lighting.energy_consumption
Single Family,Existing,Microwave,G53011623,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Monitor,G53011624,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Multifunction Device,G53011625,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Other,G53011626,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Plug Load Other,G53011627,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Pool Pump,G53011628,Single-Family Attached,out.electricity.pool_pump.energy_consumption
Single Family,Existing,Printer,G53011629,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Refrigerator,G53011630,Single-Family Attached,out.electricity.refrigerator.energy_consumption
Single Family,Existing,Set Top Box,G53011631,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Television,G53011632,Single-Family Attached,out.electricity.plug_loads.energy_consumption
Single Family,Existing,Ventilation - Air,G53011633,Single-Family Attached,out.electricity.house_fan.energy_consumption
Single Family,Existing,Waste Water,G53011634,Single-Family Attached,out.electricity.water_systems.energy_consumption
Single Family,Existing,Water Heat GT 55 Gal,G53011635,Single-Family Attached,out.electricity.water_systems.energy_consumption
Single Family,Existing,Water Heat LE 55 Gal,G53011636,Single-Family Attached,out.electricity.water_systems.energy_consumption
