Segment,Construction Vintage,End Use,Efficiency Description,Puma,Building Type,Load Shape,End Use Override
Single Family,Existing,Air Purifier,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Circulation - DHW,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Circulation - Hydronic Heating,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Computer - Desktop,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Computer - Laptop,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Cooking Oven,,G53011606,Single-Family Attached,agg.electric.cooking.energy_consumption,
Single Family,Existing,Cooking Range,,G53011606,Single-Family Attached,agg.electric.cooking.energy_consumption,
Single Family,Existing,Cool Central,,G53011606,Single-Family Attached,agg.electric.cooling.energy_consumption,
Single Family,Existing,Cool Room,,G53011606,Single-Family Attached,agg.electric.cooling.energy_consumption,
Single Family,Existing,Copier,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Dryer,,G53011606,Single-Family Attached,agg.electric.laundry.energy_consumption,
Single Family,Existing,DVD Player,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Freezer,,G53011606,Single-Family Attached,agg.electric.cooking.energy_consumption,
Single Family,Existing,Heat Central,,G53011606,Single-Family Attached,agg.electric.heating.energy_consumption,
Single Family,Existing,Heat Pump,,G53011606,Single-Family Attached,agg.electric.heat_pump.energy_consumption,
Single Family,Existing,Heat Room,,G53011606,Single-Family Attached,agg.electric.heating.energy_consumption,
Single Family,Existing,Home Audio System,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Lighting Exterior Standard,,G53011606,Single-Family Attached,agg.electric.lighting.energy_consumption,
Single Family,Existing,Lighting Interior Linear Fluorescent,,G53011606,Single-Family Attached,agg.electric.lighting.energy_consumption,
Single Family,Existing,Lighting Interior Specialty,,G53011606,Single-Family Attached,agg.electric.lighting.energy_consumption,
Single Family,Existing,Lighting Interior Standard,,G53011606,Single-Family Attached,agg.electric.lighting.energy_consumption,
Single Family,Existing,Microwave,,G53011606,Single-Family Attached,agg.electric.cooking.energy_consumption,
Single Family,Existing,Monitor,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Multifunction Device,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Other,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Plug Load Other,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Pool Pump,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Printer,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Refrigerator,,G53011606,Single-Family Attached,agg.electric.cooking.energy_consumption,
Single Family,Existing,Set Top Box,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Television,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Ventilation - Air,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Waste Water,,G53011606,Single-Family Attached,agg.electric.other.energy_consumption,
Single Family,Existing,Water Heat GT 55 Gal,,G53011606,Single-Family Attached,agg.electric.water_heating.energy_consumption,
Single Family,Existing,Water Heat LE 55 Gal,,G53011606,Single-Family Attached,agg.electric.water_heating.energy_consumption,
Single Family,Existing,Heat Central,Install Ductless Heat Pump in House with Existing FAF - HZ1,G53011606,Single-Family Attached,agg.electric.heat_pump.energy_consumption,Heat Pump
Single Family,Existing,Heat Room,Zonal to Ductless Heat Pump,G53011606,Single-Family Attached,agg.electric.heat_pump.energy_consumption,Heat Pump
Multifamily - High Rise,Existing,Air Purifier,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Circulation - DHW,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Circulation - Hydronic Heating,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Computer - Desktop,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Computer - Laptop,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Cooking Oven,,G53011606,Multi-Family with 5+ Units,agg.electric.cooking.energy_consumption,
Multifamily - High Rise,Existing,Cooking Range,,G53011606,Multi-Family with 5+ Units,agg.electric.cooking.energy_consumption,
Multifamily - High Rise,Existing,Cool Central,,G53011606,Multi-Family with 5+ Units,agg.electric.cooling.energy_consumption,
Multifamily - High Rise,Existing,Cool Room,,G53011606,Multi-Family with 5+ Units,agg.electric.cooling.energy_consumption,
Multifamily - High Rise,Existing,Copier,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Dryer,,G53011606,Multi-Family with 5+ Units,agg.electric.laundry.energy_consumption,
Multifamily - High Rise,Existing,DVD Player,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
Multifamily - High Rise,Existing,Freezer,,G53011606,Multi-Family with 5+ Units,agg.electric.cooking.energy_consumption,
Multifamily - High Rise,Existing,Heat Central,,G53011606,Multi-Family with 5+ Units,agg.electric.heating.energy_consumption,
Multifamily - High Rise,Existing,Heat Pump,,G53011606,Multi-Family with 5+ Units,agg.electric.heat_pump.energy_consumption,
Multifamily - High Rise,Existing,Heat Room,,G53011606,Multi-Family with 5+ Units,agg.electric.heating.energy_consumption,
Multifamily - High Rise,Existing,Home Audio System,,G53011606,Multi-Family with 5+ Units,agg.electric.other.energy_consumption,
