Segment,End Use,Construction Vintage,Start Saturation,End Saturation,Start Year,End Year,Interpolate Saturation,Customer Class
Multifamily - High Rise,Air Purifier,Existing,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - High Rise,Air Purifier,New,0.021865400000000004,0.021865400000000004,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,Existing,0.001067049,0.001067049,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - DHW,New,0.030401545,0.030401545,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,Existing,0.0005518830000000001,0.0005518830000000001,2021,2041,linear,Residential
Multifamily - High Rise,Circulation - Hydronic Heating,New,0.015723817,0.015723817,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,Existing,0.384615385,0.384615385,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Desktop,New,0.384615385,0.384615385,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,Existing,0.403846154,0.403846154,2021,2041,linear,Residential
Multifamily - High Rise,Computer - Laptop,New,0.403846154,0.403846154,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,Existing,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Oven,New,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Range,Existing,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise,Cooking Range,New,0.961538462,0.961538462,2021,2041,linear,Residential
Multifamily - High Rise,Cool Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,Existing,0.1872,0.410178252,2021,2041,linear,Residential
Multifamily - High Rise,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Copier,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Copier,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,Existing,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - High Rise,DVD Player,New,1.246119,1.246119,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,Existing,0.365384615,0.365384615,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,New,0.365384615,0.365384615,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,0.019230768999999998,0.019230768999999998,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,0.019230768999999998,0.019230768999999998,2021,2041,linear,Residential
