RegionSegment,RegionSegmentEndUse,RegionSegmentEndUseVintage,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCLMultifamily - High RiseAir PurifierExisting,SCL,Multifamily - High Rise,Air Purifier,Existing,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeAir Purifier,SCLMultifamily - High Rise Low IncomeAir PurifierExisting,SCL,Multifamily - High Rise Low Income,Air Purifier,Existing,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseAir Purifier,SCLMultifamily - Low RiseAir PurifierExisting,SCL,Multifamily - Low Rise,Air Purifier,Existing,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeAir Purifier,SCLMultifamily - Low Rise Low IncomeAir PurifierExisting,SCL,Multifamily - Low Rise Low Income,Air Purifier,Existing,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseAir Purifier,SCLMultifamily - Mid RiseAir PurifierExisting,SCL,Multifamily - Mid Rise,Air Purifier,Existing,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeAir Purifier,SCLMultifamily - Mid Rise Low IncomeAir PurifierExisting,SCL,Multifamily - Mid Rise Low Income,Air Purifier,Existing,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654,0.0218654
SCLSingle Family,SCLSingle FamilyAir Purifier,SCLSingle FamilyAir PurifierExisting,SCL,Single Family,Air Purifier,Existing,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835
SCLSingle Family Low Income,SCLSingle Family Low IncomeAir Purifier,SCLSingle Family Low IncomeAir PurifierExisting,SCL,Single Family Low Income,Air Purifier,Existing,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835,0.0299835
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCLMultifamily - High RiseCirculation - DHWExisting,SCL,Multifamily - High Rise,Circulation - DHW,Existing,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCirculation - DHW,SCLMultifamily - High Rise Low IncomeCirculation - DHWExisting,SCL,Multifamily - High Rise Low Income,Circulation - DHW,Existing,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049,0.001067049
